tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CE,2673124029,María Murillo,17071918,75,90,94,63,4,1,5,1,1,0,1,876,0
CC,9400171260,Daniela Rodríguez,27071939,69,67,57,85,6,1,5,0,1,0,0,551,0
CE,1662529511,Ana López,15061980,68,66,96,38,4,0,3,1,1,0,1,993,1
TI,4708180277,Ana Perez,10051968,84,82,59,54,1,0,1,0,0,0,1,101,1
CC,3482271159,Juan Murillo,04081969,69,56,85,32,1,1,4,0,0,1,0,690,0
CE,3804816906,Melissa Hernández,01061968,79,4,29,70,5,0,2,1,0,0,1,737,1
TI,2307616215,Sofía López,17031995,61,64,14,32,2,1,6,1,1,1,0,676,0
CC,6360804914,Luis Murillo,12041967,100,99,71,7,6,1,2,1,0,1,0,496,0
CE,1500442927,Carlos Cifuentes,20061960,92,45,81,24,2,0,6,1,1,0,0,779,0
CE,5144427793,Carlos Hurtado,21081952,74,41,53,15,4,1,2,0,0,0,0,494,1
CE,0790856747,Gabriela Perez,08061952,26,54,91,84,5,1,3,0,0,1,1,383,0
CE,4252692886,Gabriela Perez,11101946,66,47,100,49,3,1,1,0,1,1,0,728,0
CC,5811808295,Sofía Hurtado,10081967,83,11,56,11,5,0,3,0,1,0,1,76,0
TI,1754353686,Daniela Rodríguez,09091990,89,19,69,40,5,1,5,0,1,1,0,725,1
CC,3267400740,María Hurtado,25092007,55,50,16,73,2,0,4,1,1,0,0,924,1
TI,7853294933,Marcela González,03061974,39,97,55,86,2,0,3,1,0,0,0,765,0
TI,9331307330,David García,04071976,16,10,86,86,1,0,2,0,0,1,0,137,1
CE,1984748561,Melissa Cartagena,07091989,46,61,87,21,3,0,3,1,0,0,0,59,0
CE,2118210559,Juan González,07051994,64,1,22,33,1,1,3,0,1,0,1,135,1
CE,3854800572,Luis Cifuentes,05111984,22,56,39,15,5,1,4,1,1,1,0,30,1
CE,4340750283,David Murillo,16051974,10,90,100,90,4,1,3,0,1,0,0,76,0
CC,0085658593,Gabriela González,15011998,18,9,40,2,4,0,4,0,1,1,0,822,0
CC,6290895503,Manuela Castaneda,11051927,47,80,53,52,5,1,6,1,0,0,0,106,1
CC,1725673466,Manuela Martínez,13101971,95,51,61,18,1,0,3,1,1,1,0,844,1
CC,0872272735,Marcela Cifuentes,17121948,58,25,92,42,2,1,3,0,0,1,1,872,1
CC,0577800410,Juan Castaneda,18011963,37,45,33,79,2,1,2,1,0,0,0,934,0
TI,1864238433,David Castaneda,17031950,93,48,48,33,4,1,3,1,1,1,1,258,1
TI,9014695118,Manuela Rodríguez,05011967,70,5,90,91,1,1,3,1,0,1,0,836,0
CC,2884689831,Melissa González,24021963,66,14,25,66,5,0,4,0,1,1,1,711,0
CE,4306420722,David Cifuentes,01111988,58,3,48,77,5,1,5,0,1,0,1,153,1
CC,5402058260,Juan Rodríguez,24101949,88,33,58,26,1,0,2,1,0,1,0,378,0
TI,3311473237,Melissa Castaneda,11072003,70,3,1,19,5,1,4,1,0,1,1,711,0
CE,0563283706,Ana Cartagena,22051983,22,1,98,24,4,1,3,1,1,0,1,111,1
TI,6644664983,Laura López,21021985,28,64,97,88,4,0,1,1,0,0,1,194,0
TI,6459807850,Melissa López,19101941,96,78,83,86,3,1,1,1,0,0,1,859,0
TI,7652864228,Marcela Cartagena,23121999,93,92,22,68,5,1,3,1,1,1,0,271,0
TI,2051298046,Manuela Rodríguez,02081986,87,91,12,60,4,0,6,0,1,1,1,274,1
CE,1498533337,María Hurtado,21041988,41,33,7,54,6,1,1,0,0,1,1,38,0
TI,2458180557,Juan Hernández,20041984,28,4,40,63,4,1,6,0,0,0,1,894,0
TI,3432034482,Laura González,19091979,14,29,33,94,2,0,6,0,0,1,1,904,1
