tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CE,3702294482,Ana Murillo,16111998,82,46,45,10,4,1,3,0,0,1,0,721,0
CE,8023374684,Ana Perez,27091992,18,2,59,86,1,0,3,0,0,0,1,681,0
TI,1874570633,Laura Martínez,25081942,21,22,70,84,4,1,4,1,0,0,1,601,0
TI,8361131257,Luis Rodríguez,20042003,71,74,69,76,4,0,4,0,0,0,1,966,0
CE,1176775986,Ana Hurtado,09011985,24,41,9,39,4,0,6,1,0,0,1,313,1
TI,1616732275,Melissa Cifuentes,11031927,12,99,79,22,3,0,1,1,1,0,0,328,1
CE,0803869238,Sofía García,18091962,34,27,22,28,1,1,5,1,1,0,1,22,1
TI,7934909838,David Cifuentes,07101969,47,70,88,16,6,0,2,1,0,1,1,15,1
CC,7065822957,Carlos Castaneda,07061997,67,54,1,8,5,0,4,1,0,1,0,745,0
CE,7592691951,Miguel Castaneda,09081973,17,56,96,21,3,0,1,0,0,0,0,985,0
CC,5864770239,Juan Hurtado,09101979,1,18,22,24,1,0,3,1,0,0,1,905,1
TI,6487659630,María Perez,26051946,33,46,26,47,3,1,3,1,0,0,1,307,1
CC,4269697438,Daniela López,15061947,45,92,85,78,3,0,6,0,0,1,1,668,1
TI,4306616057,Luis Castaneda,26061994,85,41,74,74,3,0,2,1,1,1,0,18,0
TI,0716740185,María Hernández,11091955,16,51,4,55,4,0,5,1,0,0,0,630,1
TI,8442464367,Miguel Perez,14031981,21,60,41,87,1,1,2,0,1,0,1,979,1
CE,6024703265,María González,01011928,44,87,93,90,1,1,3,1,0,0,1,509,0
CE,6872091030,Daniela Murillo,03051991,60,69,92,54,4,1,4,0,0,0,1,777,1
TI,5591533208,Laura Martínez,15091957,61,98,93,65,5,1,4,0,0,0,0,135,0
CC,3091438526,Luis Perez,25061981,3,4,61,50,1,1,6,0,0,0,0,938,0
CE,8930384873,Luis González,02011960,77,91,77,58,5,1,1,1,1,1,1,677,1
TI,2429757689,Miguel Murillo,10051949,63,29,88,77,3,1,4,1,0,1,0,823,0
TI,7853729211,Marcela Murillo,04051990,66,57,44,95,2,1,4,0,1,1,1,409,0
CE,9413229437,David Martínez,04041952,12,11,98,69,6,0,2,0,1,1,1,500,1
TI,5489451446,Manuela Rodríguez,01081997,53,75,47,77,5,1,1,0,1,1,1,978,0
TI,6012433449,Miguel Hernández,22081954,30,86,7,40,4,1,5,1,0,1,0,540,0
CE,4941395919,Daniela Castaneda,11031924,50,10,68,48,2,0,6,0,0,0,1,869,1
CE,6931193720,Luis Martínez,04022007,32,19,62,6,2,0,4,1,0,0,1,105,0
CE,8432247012,Carlos Cartagena,25011970,84,41,52,5,1,1,4,0,1,0,1,631,1
TI,6969717453,Melissa Murillo,27021959,65,62,36,97,4,0,2,0,1,0,1,23,1
TI,9762132254,María Hurtado,11021934,72,60,59,40,4,1,6,1,0,1,0,331,1
CE,0073164433,Laura García,02121956,90,20,53,38,1,0,1,0,0,0,0,486,0
CC,9576654248,Ana López,15041933,63,26,63,12,2,0,1,0,1,0,0,567,0
CC,4203389365,Daniela Rodríguez,16081995,87,66,70,4,2,1,4,1,1,1,1,893,1
TI,6372621668,Manuela Murillo,05071980,78,63,8,31,1,1,6,1,0,0,0,922,1
CE,9020081340,Luis Hernández,04101944,28,57,53,19,3,0,4,0,1,1,1,497,1
CC,7299466152,Gabriela Martínez,12041975,86,13,3,75,5,1,6,1,0,1,1,549,1
CC,1743373897,María Murillo,05011937,97,68,50,64,3,0,2,1,1,0,1,452,0
TI,6746653137,Sofía Rodríguez,11021987,39,94,3,47,1,1,4,1,1,0,0,940,1
CC,7412787409,Daniela Murillo,10111974,27,9,38,15,6,1,4,0,1,1,0,374,0
CE,3937761067,Manuela Hurtado,14021936,40,81,69,23,3,1,3,0,0,1,0,663,0
TI,8031082754,Melissa González,25081937,16,45,48,80,5,1,5,1,0,0,1,907,1
CC,9643158599,Miguel Cifuentes,09011955,42,40,95,46,2,0,2,0,1,0,1,686,1
CE,3348149104,Juan Cifuentes,13031976,42,10,23,60,4,0,4,0,0,0,1,747,0
CE,7625671552,Gabriela Hurtado,07031942,32,1,39,91,6,1,6,0,1,1,1,576,1
CC,3100062101,David Hurtado,21082003,36,46,8,65,1,1,6,0,0,0,0,455,1
CC,5016979733,Carlos Murillo,27111952,68,64,4,45,3,1,6,1,0,1,1,460,0
