tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,7693989069,David Rodríguez,27041936,60,19,83,20,3,0,2,1,0,1,0,59,0
CE,2931069048,Miguel García,04021950,56,79,7,88,3,1,1,1,1,0,0,988,0
CE,8752525720,Marcela Cifuentes,02031992,15,85,61,68,5,0,2,1,1,1,0,368,1
CC,1117415241,Laura Castaneda,27111951,12,75,81,13,1,1,4,0,1,0,1,551,0
TI,0119568882,Ana Martínez,28011925,22,100,65,76,3,0,3,1,1,0,0,31,1
CC,6155243549,Juan González,15071986,52,42,62,83,4,0,6,0,1,0,0,351,1
CC,8452918851,David Cartagena,22112004,8,70,23,56,4,0,3,0,1,1,0,616,1
CC,0340826118,Sofía López,11061963,80,70,51,24,6,0,5,1,0,0,0,317,1
CC,2060158635,Manuela Cartagena,23022009,93,70,95,87,5,1,2,0,1,0,0,954,0
CC,4204581262,Daniela Murillo,24011962,17,79,64,98,2,0,6,1,0,0,0,400,0
CE,3967973500,Laura Cartagena,22051901,12,58,54,42,2,0,5,0,0,1,1,608,1
CC,0040812683,Melissa Cifuentes,10041947,83,77,72,66,1,0,1,0,0,0,0,385,1
CE,9676820359,Laura Martínez,25081929,66,67,80,44,6,0,1,0,1,1,0,554,0
CC,8395663036,Miguel Perez,10061954,43,67,61,12,4,0,1,1,0,1,0,564,1
TI,7536968399,Marcela Castaneda,03071927,24,88,91,79,2,1,2,1,0,0,0,883,0
CC,6936728499,María Cifuentes,06021952,42,83,67,55,2,0,6,0,0,1,1,527,0
CC,6753947381,Sofía Perez,12041987,2,23,30,67,3,0,3,0,0,1,0,392,0
CC,6181541975,Carlos Martínez,23061998,8,29,60,96,1,0,3,0,1,0,0,110,0
CC,4462375952,Juan González,03012004,39,3,11,46,3,0,1,0,1,1,0,261,0
CC,4324820048,Gabriela Cifuentes,27021985,51,78,24,45,3,1,1,0,0,1,1,993,1
CC,8157934640,Daniela García,09081920,66,95,77,3,6,1,6,0,0,0,0,797,0
CE,8515082351,Manuela Perez,05121959,44,76,40,42,3,0,6,1,0,1,1,9,0
CE,1746731582,Manuela Cifuentes,27121983,94,45,18,36,4,1,4,1,1,0,0,261,1
CC,4579179003,María Rodríguez,14101964,77,54,78,40,4,1,2,1,1,0,0,528,0
CE,0646478658,María Martínez,12021984,73,72,47,6,3,1,5,1,1,1,1,937,1
CC,4853294327,Sofía Cifuentes,27091956,56,40,50,29,4,0,6,0,0,0,0,181,1
TI,5651553638,Marcela Castaneda,01072009,27,28,34,32,4,0,2,0,0,0,0,217,0
