tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,7385992288,Luis Perez,01061909,63,54,15,51,6,1,2,0,0,0,1,100,0
TI,7025672052,Luis Rodríguez,19061927,50,80,88,26,4,1,4,0,0,1,0,5,0
CC,6614224761,Melissa González,22111998,24,94,47,64,1,0,5,0,1,0,1,147,1
CC,1192822092,Ana Murillo,01081991,78,50,91,65,1,1,2,1,0,0,1,375,1
CE,7767988965,Carlos Hurtado,21101976,53,93,6,82,5,1,5,0,1,1,1,956,0
CE,8881776128,Gabriela Cifuentes,11052006,31,2,65,58,2,1,3,0,0,1,0,319,1
CE,7759775871,Laura González,22121963,56,78,68,68,5,0,3,0,1,1,1,885,1
TI,8681109332,Luis Rodríguez,07041928,66,25,44,33,2,1,3,1,0,1,1,600,0
CE,4710610577,Luis Hernández,13061987,36,76,53,40,3,1,2,0,0,1,0,858,1
CC,5929067998,Carlos Hernández,11081979,35,68,61,60,5,1,1,1,0,1,0,104,1
CE,8831382617,David Murillo,18011900,49,2,21,25,6,1,6,0,0,1,0,267,0
CE,6713795627,Manuela Perez,24071967,53,77,96,60,3,0,5,0,0,0,1,92,0
CE,8688540810,David López,02102005,33,50,66,86,4,1,6,0,1,1,0,182,0
CC,7058444946,Laura Castaneda,16101997,77,26,75,1,1,0,4,1,0,1,1,434,1
TI,0938014588,David Hernández,27072004,56,71,39,30,6,0,1,1,1,1,0,690,1
CE,9434875310,Ana Rodríguez,26082006,85,58,3,34,1,1,1,1,1,0,1,727,1
CC,5046527783,Miguel Hurtado,16041927,37,48,71,96,6,1,5,0,0,1,0,765,1
TI,0037716218,Ana Martínez,25111944,7,88,95,80,2,0,4,1,1,1,1,86,1
TI,2909739932,María Cifuentes,02101973,36,84,10,57,6,1,4,0,1,1,0,945,1
TI,8516583185,David Hernández,15011995,25,88,42,64,4,0,5,1,0,1,1,407,1
TI,7955410728,Gabriela Hernández,12082006,7,8,98,100,6,1,3,1,1,0,1,236,1
CC,4329575518,Ana Murillo,22121951,48,83,92,24,6,0,3,0,0,0,1,515,1
CC,5236993093,Juan Perez,27091933,29,3,11,21,2,0,6,1,0,0,0,76,1
CC,8187785550,María Hernández,04021933,82,68,94,14,1,0,5,0,1,1,0,164,1
TI,4223653741,Gabriela Rodríguez,02091977,5,39,10,100,3,1,3,1,0,1,1,830,1
TI,5208924661,Gabriela Rodríguez,27101950,94,6,78,88,3,1,1,1,0,1,1,489,1
CE,1485823295,Laura García,26091995,40,45,69,30,5,0,6,0,1,0,1,165,1
