tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,4339863048,David Hernández,25082007,62,27,98,13,3,1,2,0,1,0,0,728,0
TI,4172541154,Melissa González,17122002,89,16,49,23,5,1,4,0,0,1,0,73,1
TI,4801354987,Juan Martínez,25121962,7,100,66,39,4,0,4,1,0,1,0,550,1
TI,0757773459,Sofía Castaneda,09081952,80,20,42,3,2,1,1,1,1,0,0,449,0
CE,3695476462,Juan Hurtado,24101984,51,11,44,36,6,0,2,1,0,0,1,299,1
CE,6439812379,Carlos Castaneda,25101939,65,20,98,18,6,1,1,0,0,0,0,381,0
TI,2526246887,David Hurtado,17081942,92,43,88,68,1,1,6,0,1,0,1,289,1
TI,6864382345,Marcela Cartagena,21111968,74,54,48,28,3,0,3,1,0,1,1,937,0
TI,3154511414,Carlos Murillo,12061976,94,92,91,36,1,1,3,0,1,1,0,119,0
CC,8101566332,Carlos Cartagena,01101936,98,43,88,70,3,1,4,0,1,1,0,31,1
TI,6497143344,Gabriela Rodríguez,01041986,33,64,60,57,5,1,5,0,0,0,1,561,0
CC,4671118102,María Martínez,15031966,65,66,81,62,1,0,1,1,0,1,0,390,0
CC,7113541567,Ana Murillo,19031995,47,36,17,58,1,0,6,0,1,1,0,971,1
CE,7070278794,Sofía Hernández,24031979,37,12,67,48,6,1,5,0,1,1,1,165,1
TI,9492469819,Laura García,13021992,100,94,62,45,1,1,2,0,1,0,0,541,0
CE,0574191545,Laura Martínez,08031989,80,90,3,78,2,0,3,0,1,1,0,777,1
TI,5914735375,Melissa García,01111928,70,42,17,83,6,0,2,1,1,0,0,736,0
TI,4052878640,Marcela Hurtado,27021995,64,98,78,62,4,1,6,0,0,0,0,296,1
CE,4300597968,Juan Hernández,28031952,74,29,33,47,3,1,1,1,0,1,1,731,0
CE,6118115112,Juan González,11041932,77,33,33,29,5,1,6,1,0,1,0,114,0
CC,2957623383,Juan García,12081912,31,18,65,75,5,0,1,1,0,1,1,307,1
TI,0829720069,Juan Castaneda,04061985,38,97,33,36,3,1,3,1,0,1,1,741,0
CC,2818551474,Carlos Castaneda,01101981,19,90,23,8,2,1,3,1,0,1,0,563,0
TI,7616866702,Luis García,18111992,47,25,14,35,3,1,1,1,1,1,1,53,0
CC,2992387748,Luis López,11081968,17,61,4,91,6,1,3,1,0,1,0,649,0
CC,3122573940,Luis Martínez,18071924,18,18,17,94,4,0,6,0,0,1,1,240,0
CE,1407958685,Miguel Cifuentes,15022006,5,25,40,82,3,1,1,1,0,1,1,305,0
TI,4379027133,Laura Rodríguez,20031965,56,53,32,37,1,0,4,0,1,0,1,718,1
CC,1957910310,Marcela López,19061978,35,66,32,34,3,0,1,0,1,0,1,624,1
CE,5098024839,Marcela Cartagena,05061965,7,6,78,88,4,0,6,0,1,1,0,542,1
TI,6622017918,Juan Hurtado,20091971,93,77,53,50,2,0,5,0,0,1,1,129,0
CC,3602676000,Ana Rodríguez,24051968,81,77,12,55,6,1,4,1,0,0,0,673,0
CC,8462113157,Miguel Castaneda,13061949,86,41,28,83,3,1,5,0,0,1,0,91,0
CE,6791315143,Carlos González,08111941,85,11,34,81,6,0,6,0,0,1,1,446,0
