tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CE,9748021100,Melissa González,18092008,36,22,100,68,4,0,4,1,1,1,1,665,1
TI,6030206937,Melissa Rodríguez,10071988,19,47,72,47,2,0,3,1,0,1,0,433,0
CE,4600852427,Carlos Martínez,23121964,73,5,61,32,6,0,2,1,0,0,1,472,1
TI,8365057288,Sofía Perez,07041937,18,85,3,11,5,1,2,1,0,1,0,757,0
TI,7397997018,Carlos Cifuentes,02111968,27,80,77,53,2,0,1,0,0,1,1,971,1
CE,6450625286,Melissa Cartagena,25051974,90,67,98,77,3,0,2,1,1,1,0,178,0
TI,8735936785,Sofía Hernández,28091987,52,98,71,64,6,1,5,1,1,1,0,569,0
TI,8613459121,Sofía Castaneda,10121934,6,38,15,33,5,1,1,0,0,0,1,146,1
CC,8533709144,Carlos Rodríguez,20101987,94,57,19,33,2,0,4,0,1,0,1,294,1
CE,3520341336,Sofía Rodríguez,17101990,91,25,63,66,2,0,1,0,0,1,1,311,0
TI,6323958064,Melissa Cartagena,02111960,21,43,80,41,1,0,4,0,1,1,1,147,0
CE,1862840211,Melissa García,09101963,78,57,75,24,4,0,3,0,1,0,0,716,0
CE,9217018515,Marcela Hernández,20071991,51,48,25,13,2,0,2,0,1,0,1,997,1
TI,5126219774,Luis Hurtado,03071954,68,17,18,58,1,0,2,1,1,1,0,258,1
TI,0053863534,Ana López,23021941,61,63,79,84,1,1,3,1,0,0,1,135,0
TI,7600727594,Melissa López,07031955,60,43,9,87,1,0,3,1,0,0,1,384,0
CC,9453951407,Carlos González,09071985,37,88,57,61,5,1,2,1,1,1,1,748,0
TI,3522629749,Miguel Perez,05041941,95,65,71,20,5,1,3,0,0,0,1,773,1
CE,2183566207,David Martínez,01031944,11,25,49,66,4,1,1,0,1,1,1,426,0
CE,9880062090,Ana Rodríguez,25021965,65,55,6,73,4,0,3,1,1,0,1,439,0
TI,9723772565,Miguel Cifuentes,13052023,79,89,36,62,1,0,4,0,0,0,1,927,1
CC,8296533212,Carlos Murillo,28011937,83,61,91,43,5,0,3,1,1,1,1,793,0
TI,8526217097,Miguel González,06011932,89,21,35,81,6,0,2,0,0,0,1,350,0
CC,7412084224,Sofía Perez,24111990,100,20,40,24,3,1,3,1,1,0,0,650,0
TI,4647431381,Melissa Cartagena,01121989,64,10,71,57,6,0,4,0,0,1,0,430,1
CC,9706605304,Marcela Perez,12021997,65,63,72,42,1,1,6,0,1,0,1,172,1
CE,3806800015,Daniela Hernández,01071983,1,75,15,41,6,1,5,1,1,1,0,605,0
CE,0478029364,Juan Perez,14051973,21,43,98,2,2,1,6,1,0,0,0,700,1
TI,4257848788,Sofía Rodríguez,01031965,64,38,14,100,2,1,6,1,0,1,0,453,0
CC,0558269567,Marcela López,02011962,95,59,11,48,5,1,1,1,0,0,0,380,0
CE,9959192935,María Murillo,21062014,29,38,93,43,4,1,2,0,1,1,1,822,0
CE,1341835114,Juan García,28101985,29,32,67,84,2,1,6,0,0,0,1,521,0
TI,3051669036,Gabriela Rodríguez,28011950,59,20,67,34,2,1,5,1,1,1,1,697,1
CC,9707216959,María Murillo,21111984,29,47,1,22,5,1,3,1,1,0,1,37,1
TI,1240178946,Manuela Perez,27071964,20,70,76,23,3,0,4,1,1,1,0,282,0
CC,3272462100,Luis Perez,19021970,28,99,86,67,5,1,6,1,1,0,1,713,0
CE,9989823961,Ana González,02011986,66,50,3,17,2,1,6,0,1,0,0,565,1
CC,0669495852,María Castaneda,02081956,43,74,77,94,1,1,1,1,0,0,0,443,0
TI,7444273118,Manuela Castaneda,10051964,17,14,22,62,6,0,6,1,0,1,0,215,0
CE,3347102304,Juan López,12081964,73,28,60,75,5,1,2,0,1,1,0,641,1
CE,1827382828,Melissa González,08031916,4,54,41,95,1,1,5,0,1,1,1,332,1
CE,5061313535,Ana Murillo,14012009,32,9,87,41,4,0,1,1,0,0,0,876,0
CE,6293429414,Miguel Perez,23101935,50,72,73,28,2,1,6,0,1,1,1,717,1
CE,7849436718,Carlos Cartagena,17011951,11,80,47,51,2,0,3,1,0,0,1,479,0
TI,4512475583,Carlos Cartagena,27101995,18,35,92,13,3,0,5,1,0,1,1,289,1
CE,5072899858,Juan García,01051956,36,14,2,84,4,0,1,0,1,0,0,125,1
CC,8522330255,Manuela González,12072004,86,19,44,22,3,1,1,1,0,0,0,54,0
TI,6769913539,Marcela Martínez,26051978,96,55,90,50,1,0,5,0,0,1,0,431,1
CC,1303043047,Luis Hernández,24071933,86,43,33,25,1,0,5,0,1,1,1,554,0
CE,1875035680,Melissa García,20031945,82,74,39,39,1,0,2,0,0,0,0,511,1
TI,4364176122,Manuela Rodríguez,01022024,64,20,34,76,1,1,4,0,1,1,0,983,0
TI,4807190732,Carlos Hernández,28122007,42,95,82,50,1,1,5,0,0,0,1,319,1
TI,0181096649,Miguel Cifuentes,25031952,57,21,74,20,6,0,3,0,0,0,1,826,0
TI,5497944586,Daniela Martínez,08101988,81,46,57,26,1,0,3,0,0,1,1,255,0
TI,1004809225,Daniela González,10071935,21,46,2,7,6,0,5,0,0,1,1,700,0
CC,2870793019,Manuela Cartagena,22051991,93,5,20,3,5,0,2,1,0,0,1,228,1
CC,2290662658,Manuela Cartagena,17052001,52,95,79,84,5,0,5,1,1,0,1,692,1
CE,9599789840,Daniela Murillo,14112007,69,87,29,42,2,0,1,0,0,0,1,431,1
