tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CE,0259568514,Carlos Castaneda,23041951,31,13,62,96,6,0,3,1,1,1,1,581,1
CE,1970382889,Daniela Cartagena,18121939,82,63,64,92,1,1,5,1,0,1,0,481,1
CE,9707588793,Marcela Perez,19081951,5,55,100,60,6,0,3,1,1,0,1,454,1
CC,1984288501,David López,05111969,75,95,17,3,5,0,4,0,1,0,0,445,0
CE,0429954975,Laura Castaneda,10051950,61,29,54,73,1,1,4,1,0,0,0,475,0
CC,4658696457,Manuela Castaneda,13091987,79,37,78,51,2,0,5,1,0,1,1,227,1
CC,3434285561,María López,06091999,49,37,67,62,2,1,6,0,0,0,1,70,1
CE,4846838197,Melissa López,19101991,3,65,99,30,3,0,4,1,0,0,1,422,0
CE,9675429049,Melissa Castaneda,20111968,31,34,70,34,5,0,1,0,1,0,1,33,1
CE,7368316015,Sofía Hernández,16102005,53,29,46,40,6,1,5,1,1,0,0,290,1
CC,2190859567,Luis Cartagena,12091997,31,45,36,80,5,1,5,1,1,0,0,896,0
CC,3091533707,David Cartagena,08071934,48,59,98,97,2,0,6,0,1,0,1,991,1
CE,8575102897,Miguel Hurtado,22101949,49,35,53,14,4,1,1,1,0,0,0,342,1
CE,9428536457,Sofía González,15051973,75,78,41,82,5,0,5,1,1,1,1,393,0
CC,4926121655,Miguel Perez,21031965,42,88,69,96,5,1,1,0,1,1,0,884,0
CE,0226194947,Ana Castaneda,09081930,90,14,49,39,4,0,1,0,0,0,0,583,1
CC,2135467062,Daniela Hurtado,12081926,12,39,64,88,2,0,6,0,0,1,0,396,1
TI,7323846795,Juan Perez,25121968,28,76,29,46,3,1,4,0,0,0,0,38,0
CE,1988546093,Daniela Hurtado,05061966,80,65,93,32,3,0,2,1,0,0,0,24,1
CE,9838382106,Ana Cifuentes,15022004,71,77,68,67,4,0,1,1,0,1,0,211,1
CC,9792384354,Gabriela Cartagena,10011937,25,40,93,64,5,1,1,0,0,1,0,337,0
CE,0025304993,Melissa Murillo,03031953,21,97,75,94,4,1,2,0,1,1,1,83,0
