tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CE,7246103405,Miguel López,28062009,97,43,39,95,5,1,1,1,1,1,0,803,1
CC,8476928714,Daniela Murillo,21011976,88,83,72,88,1,0,2,0,1,0,1,70,1
CC,0775555377,Gabriela Hurtado,12122007,33,57,73,74,3,1,1,1,1,0,1,339,0
TI,3481543362,Sofía López,15041928,60,66,71,35,3,0,6,1,0,0,1,110,1
CE,4971478268,María Cartagena,06031983,98,52,58,72,5,0,1,0,0,1,0,204,1
CE,3436924112,Sofía Murillo,16011987,37,26,37,34,6,0,3,0,0,0,1,70,1
CE,2879597843,Manuela López,15041927,37,55,87,54,2,1,2,0,1,1,0,446,0
TI,2634935409,Manuela Murillo,13071987,34,7,29,69,4,0,1,0,0,1,0,245,1
CE,6732991387,David Rodríguez,08061979,30,9,74,18,4,1,3,1,1,1,1,954,1
CC,9289390254,Melissa Cartagena,07111934,14,56,63,61,2,0,1,1,0,0,0,425,1
TI,7411120413,Ana Hernández,08012004,33,16,9,1,2,0,3,0,1,0,1,778,1
TI,8979987498,Marcela Hernández,09041964,41,20,10,19,1,1,5,1,0,0,0,426,0
TI,8100606531,María Hurtado,05071959,93,46,11,64,6,1,3,0,0,0,0,77,0
CC,7191326322,David Hurtado,06021993,86,47,64,16,1,1,4,0,1,1,0,385,1
TI,1384929208,Miguel García,15071949,86,63,90,52,3,1,3,1,1,1,0,343,0
TI,3296631585,Carlos Cartagena,20102000,71,36,84,68,1,0,4,0,1,1,1,259,0
CC,4787004544,Marcela Hernández,08021967,46,58,48,74,5,1,3,1,1,0,1,271,1
TI,6615088410,Miguel Hurtado,11021958,61,24,38,48,1,0,6,0,0,0,0,311,1
CC,0123235099,Sofía Cartagena,03061998,9,1,64,14,4,1,4,0,0,1,1,922,0
CC,3090996801,Luis López,14011925,35,47,55,29,2,1,2,0,0,0,1,391,1
CC,6148783697,Luis Murillo,18121946,19,57,7,85,1,0,3,1,0,0,1,132,0
CC,0842895602,Melissa Rodríguez,07031968,54,96,24,45,2,0,4,0,1,1,0,208,0
CE,4335034132,Ana Murillo,11071939,75,27,58,36,6,0,6,0,0,0,0,675,1
CC,3472576857,Luis Perez,26031989,26,59,28,11,5,0,4,1,0,1,1,297,1
CC,5782268205,María López,01021924,4,32,62,31,5,0,3,1,0,0,0,887,0
TI,0890909465,Luis López,27041995,71,63,19,37,6,1,4,1,0,1,0,582,1
CE,0487099815,Marcela González,22111985,89,63,25,65,2,0,5,1,1,0,0,408,1
TI,4845533424,Daniela Perez,18012003,73,67,98,76,4,0,2,0,0,0,0,768,1
CE,5483336429,Carlos Cartagena,10011969,12,32,81,23,1,1,1,0,1,1,1,728,0
TI,1427139992,Daniela Martínez,06092003,62,9,4,48,4,1,2,0,1,0,1,992,1
CC,0310615826,Sofía González,12071933,32,25,97,5,4,1,4,0,0,0,0,673,1
CE,7801325947,Daniela Rodríguez,13041952,81,17,33,92,6,1,6,1,1,0,1,198,1
TI,9929922800,Sofía Perez,04091946,22,62,56,23,6,1,3,1,0,1,1,810,1
TI,6843994100,Miguel Rodríguez,08121947,36,64,68,72,2,0,2,0,1,1,1,958,0
CE,0191789622,Laura Martínez,06081931,37,98,19,88,1,1,6,0,0,0,1,84,0
CE,9733617405,Manuela Hernández,11061945,62,93,53,37,5,1,5,1,1,0,0,28,0
CC,2266504786,María Perez,27071970,8,28,95,54,2,0,1,1,0,0,1,491,1
CC,3590992274,Daniela Castaneda,28121925,85,7,48,78,3,0,5,1,0,0,1,581,1
CC,3214507010,Juan Perez,26021933,76,56,52,65,1,1,1,1,1,1,0,576,1
CC,4220711514,Miguel González,21041986,75,70,35,44,2,0,4,1,0,0,0,159,0
