tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,4298185468,Sofía Cartagena,15042016,67,4,3,100,5,0,1,0,0,1,0,307,1
CC,7661278611,María Martínez,17081999,75,23,52,93,6,1,1,1,1,1,0,218,0
TI,2022244757,Ana Murillo,15111963,9,43,23,37,5,1,3,1,1,1,0,662,1
CC,0080602332,Miguel González,22091929,25,93,84,54,1,0,3,1,1,1,0,998,0
CE,2861501004,Juan Hurtado,10011954,38,59,23,17,3,0,3,0,1,0,1,656,0
TI,8356979275,Juan González,02031931,86,77,84,10,4,1,3,1,0,0,0,946,0
CE,3901623043,Daniela López,20011984,86,10,49,73,5,0,6,1,1,1,0,261,0
CC,7457301874,Ana Cartagena,20111999,58,63,9,84,6,0,1,0,1,0,1,62,0
TI,3580698180,María González,10041985,19,33,39,30,5,1,1,0,1,1,1,264,0
CE,7660715516,Marcela González,17031970,89,88,71,80,2,0,3,0,0,1,0,66,0
CE,5563232864,David Cartagena,19051938,16,48,41,90,3,0,6,1,0,1,1,690,0
CC,1049340009,Luis González,18051993,48,58,45,14,1,0,1,0,0,0,0,339,0
CE,6013366373,David Cifuentes,02051944,36,29,30,75,4,0,3,0,1,0,0,284,0
CC,0010436528,Marcela García,20011981,58,71,18,31,2,1,2,0,0,0,1,445,1
CC,9917521604,Daniela Hurtado,23041937,64,51,19,44,3,1,2,0,1,0,1,645,1
TI,5151493585,Melissa López,15111938,71,93,85,39,2,0,6,0,1,0,1,408,1
TI,4173252573,Luis Castaneda,01051959,98,9,91,69,1,0,4,0,1,0,0,753,1
TI,6242586921,Carlos García,04121955,38,73,64,19,5,1,3,1,0,1,0,626,0
CC,8468381275,Melissa Hernández,11111952,28,33,8,9,2,1,6,1,0,1,0,957,1
TI,8947448064,Miguel Cifuentes,05061958,93,77,7,30,3,0,5,1,0,1,1,458,0
CE,6229740350,Gabriela García,23041973,92,45,42,90,6,0,1,0,1,0,1,137,0
CE,7948258332,Melissa Cartagena,07031989,70,12,11,68,2,0,6,0,0,1,0,88,0
CE,1940183180,Juan Martínez,24092003,58,5,11,11,1,1,2,0,0,1,1,934,0
CE,3159669031,Luis Martínez,06081963,62,82,54,49,1,0,3,0,1,0,0,12,0
CC,1668225550,Carlos Rodríguez,26011935,67,22,19,68,4,0,2,0,0,1,1,852,0
CE,1743274389,Laura Perez,28071994,76,99,65,15,4,1,4,1,0,1,1,706,0
CE,0509976581,Daniela Cifuentes,03071938,79,62,48,38,4,0,3,0,0,0,1,772,1
TI,8849788692,Daniela Rodríguez,04121998,76,31,93,16,6,0,4,1,0,0,0,626,0
TI,9235925819,Miguel Cartagena,11071946,90,91,51,5,1,0,5,0,1,1,0,644,0
CE,1193913465,Miguel Hurtado,17031976,48,4,89,20,2,1,3,0,0,1,1,721,0
CC,9812257638,Carlos Hurtado,01081918,86,100,60,97,3,0,2,0,0,0,1,172,0
CE,9294036033,Juan López,22071937,12,22,93,82,4,0,4,0,1,0,0,103,1
CE,9075450547,Marcela Hernández,13101970,90,18,59,28,1,1,2,1,0,0,1,56,0
CE,7893675062,Carlos Murillo,18042007,86,34,42,48,1,1,1,0,1,0,1,921,0
TI,4228366165,Carlos González,12061960,90,80,41,43,3,0,4,1,1,0,0,811,1
TI,9490831245,Laura Hernández,22101999,72,76,20,46,2,1,1,1,1,1,0,996,0
CE,8280673807,Ana Castaneda,20082005,55,40,54,95,2,0,1,0,0,1,0,311,0
CE,9794170386,Melissa Murillo,19091928,65,62,67,55,2,0,3,0,1,1,1,449,0
CE,6009713146,Miguel Perez,10121991,27,83,25,95,2,1,1,1,1,0,0,783,1
TI,3324637159,María Perez,01101995,48,21,47,62,5,1,4,1,0,1,1,813,0
CE,1785165970,Laura Perez,09111990,2,82,10,56,2,0,3,0,1,1,0,389,0
CC,2859250460,Miguel Cifuentes,18041993,59,63,83,57,5,0,2,0,0,1,0,379,0
CE,4824241854,Luis Hernández,28012007,27,95,44,7,1,0,4,1,0,0,1,739,0
TI,7403442325,David Murillo,23021974,76,63,79,53,5,0,1,0,1,1,1,402,1
CE,5850515124,Melissa Castaneda,06081985,87,84,78,72,6,1,3,1,1,0,1,355,0
TI,6141782738,Marcela Rodríguez,19121945,49,45,68,43,5,0,6,1,1,1,1,28,0
CE,9670494546,María Cifuentes,08012001,100,29,34,22,2,1,2,1,0,0,1,136,0
CC,6063932953,Laura Cartagena,21081980,88,2,95,58,5,1,5,1,0,0,1,527,0
TI,0771614287,Melissa Hernández,05061950,61,61,35,55,6,1,3,0,0,1,1,240,0
CC,1722432035,Sofía González,28071973,79,11,94,49,3,1,1,1,1,1,0,73,0
CE,0081422128,Miguel Rodríguez,24041981,35,59,95,2,2,0,5,0,1,1,0,598,1
CC,1591883181,María Hernández,27071987,11,80,62,50,2,0,1,0,1,0,1,528,0
CC,0041366941,Marcela Rodríguez,10061970,32,29,62,78,1,1,6,0,1,1,1,909,0
TI,0974931160,David Perez,25041970,11,66,81,49,1,0,6,1,1,1,0,863,1
CC,8553867708,Gabriela Hurtado,12091968,68,7,54,33,1,0,3,1,1,1,0,801,1
TI,6048925790,Luis Martínez,22091954,87,86,48,31,1,0,3,1,0,1,0,78,0
CC,7930822930,Daniela Cifuentes,13021980,23,35,42,86,6,0,2,1,0,0,1,286,0
CC,3353843717,Manuela Murillo,08021952,90,51,59,66,4,0,1,1,1,1,1,973,0
TI,3590424754,Luis Hernández,28011944,67,10,12,5,5,1,4,0,0,0,1,855,0
CC,7576077261,Ana Rodríguez,27081984,50,8,57,87,4,1,4,0,0,0,0,303,0
TI,7718530794,Melissa Castaneda,07091904,16,79,16,13,5,1,3,1,0,1,0,276,1
TI,8012211622,Miguel Cartagena,11111942,72,3,21,72,4,0,5,0,0,0,1,376,1
TI,2093805040,Marcela Murillo,15021937,96,5,35,62,3,1,3,1,1,1,0,871,1
TI,3392379902,Manuela Martínez,06041978,42,73,61,17,3,0,3,0,1,0,1,61,0
CE,2007421355,Sofía Hurtado,12061983,26,84,88,69,2,1,6,0,0,0,1,86,1
CC,8318288568,Juan Murillo,23121934,89,66,5,34,3,0,4,1,1,0,1,274,0
TI,6859736784,Juan Hernández,19091978,47,73,22,28,3,1,3,0,1,1,0,325,0
CE,6199384639,María Perez,08121941,62,40,51,66,5,1,5,0,1,0,1,189,0
TI,4485742608,Luis Cifuentes,22091937,39,15,2,61,4,1,5,0,0,1,0,918,1
TI,9813053829,David Cifuentes,28021984,10,69,78,59,6,0,2,1,1,1,1,72,0
CC,0205973165,María Martínez,21052018,32,82,5,14,2,0,4,1,0,0,1,57,0
CE,3296975038,Manuela Hurtado,08071965,89,4,74,77,4,1,6,1,1,1,0,10,0
CC,9245889697,Carlos Perez,09041995,91,68,90,8,3,1,6,0,1,1,0,945,0
CC,9196903244,Melissa Hurtado,19061981,82,37,44,24,4,0,5,1,1,0,1,128,1
CE,7068264047,Gabriela González,14061926,70,24,59,33,2,1,2,1,0,0,1,982,0
CC,2517333448,Daniela Martínez,01101925,60,90,89,32,6,0,5,1,0,0,1,110,1
CC,8895603443,Marcela Rodríguez,11061929,81,74,88,64,2,0,3,1,1,1,0,464,1
CC,2702750304,María López,16032005,43,94,6,65,1,0,6,1,0,1,0,700,1
CC,9643823811,Manuela Hurtado,04091942,81,95,50,95,5,1,3,1,0,1,1,295,1
TI,8364952741,Luis Murillo,24021926,100,61,3,30,5,1,5,0,0,1,1,676,1
TI,3950843046,María Hernández,12112015,3,70,61,96,6,1,3,0,1,1,0,707,0
CC,2028866195,Miguel Cartagena,22041949,61,26,3,19,1,0,3,1,1,0,1,637,0
TI,3865194413,Daniela Rodríguez,03111952,15,76,43,8,5,0,4,1,0,1,1,13,1
CE,2533263374,Manuela Castaneda,20041970,95,25,22,23,6,0,2,0,1,0,1,189,1
CC,4927955711,Laura García,10111965,25,61,11,79,5,1,3,0,1,1,0,477,0
TI,3863088105,Manuela González,17061996,89,36,84,3,6,0,4,1,1,0,0,239,1
CE,8794213558,Manuela Cifuentes,11121949,88,37,55,3,5,1,4,0,1,0,1,709,1
CC,5206473052,Juan González,21091996,28,70,61,23,1,1,3,1,0,0,0,750,1
CE,7343250956,David Martínez,28121998,43,67,73,57,6,0,5,1,1,1,1,905,1
CC,4114359561,Carlos Murillo,23081944,23,60,4,27,1,1,2,0,1,1,1,309,0
CC,9014546132,María Perez,23071943,70,28,63,90,4,1,3,0,1,1,1,6,0
CC,8358020249,David Perez,09101993,22,5,90,92,2,1,4,1,1,1,0,827,0
TI,4302911025,Manuela Murillo,17041944,88,20,36,12,1,0,2,0,1,1,0,747,1
CC,3933924210,Laura Rodríguez,19021980,64,56,14,2,1,1,1,1,1,0,1,649,1
CE,2824361778,Ana Murillo,05041989,53,9,33,80,3,0,4,1,0,0,1,607,0
CC,2467653341,Ana Cifuentes,03011986,93,57,19,90,1,1,1,0,0,0,1,402,0
CE,1807894324,Laura Hernández,12081985,33,85,20,86,2,1,2,1,0,0,0,19,1
TI,7430210084,Luis Cartagena,27122005,84,59,89,17,5,0,3,1,0,1,0,714,1
CE,8640513057,Carlos Hernández,14101925,67,83,11,88,3,0,5,1,0,1,1,559,0
TI,8193751453,Gabriela Perez,13051978,88,41,21,93,2,0,1,0,1,1,0,326,0
