tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,7646345418,Ana Cifuentes,20122018,21,40,9,83,6,1,5,1,1,1,1,425,1
CC,1807483810,Sofía Cifuentes,11041964,16,74,86,29,1,0,6,1,0,1,0,898,1
CE,5086132107,Luis Hernández,15091946,11,73,94,80,1,1,5,1,0,1,0,188,1
TI,9859279366,María García,07111979,83,29,80,74,3,0,3,0,0,1,1,433,1
TI,8820491438,Miguel Cartagena,24031986,30,94,39,94,4,0,3,0,1,1,0,975,0
TI,1917448936,Juan Cartagena,02012006,1,57,45,21,3,1,2,1,1,1,1,594,1
CE,1307967395,Sofía Cifuentes,28081932,86,42,24,59,2,1,6,1,1,0,1,746,0
CC,0146743832,Juan Hernández,05081939,70,19,100,62,4,1,3,1,0,0,0,816,1
CC,0114220560,Luis Perez,10021936,49,24,89,13,6,0,6,1,0,0,0,109,0
TI,6149346229,Gabriela Martínez,22062002,49,47,85,94,5,1,4,1,1,0,1,49,1
TI,2467478200,Daniela Martínez,25092012,90,48,82,41,4,1,3,1,1,1,1,818,1
TI,8352974047,David López,19011925,82,78,31,50,5,1,3,0,1,1,0,781,0
CC,2437052538,María Murillo,15081988,15,9,20,50,1,1,3,1,1,0,0,7,1
TI,5059063081,Gabriela Cartagena,17031941,64,10,21,38,2,1,2,0,0,1,1,79,1
CE,6788769038,Gabriela Hernández,10121990,78,23,76,69,3,1,6,1,1,1,1,729,1
CC,9655961905,Miguel Cifuentes,08111961,3,85,41,51,6,1,6,0,1,0,0,520,0
TI,7967827356,David Hurtado,20111934,54,44,42,10,2,1,3,1,1,1,1,839,1
CC,8978513060,Carlos Hernández,24051983,94,2,82,30,1,0,3,1,0,0,0,113,1
CC,9636071516,Manuela Cifuentes,15121949,19,11,15,19,6,1,4,1,1,1,1,750,0
TI,2801541455,Melissa Cartagena,27021967,60,87,71,5,3,1,3,1,0,1,0,435,1
TI,7101983095,Manuela González,24111941,80,96,14,35,2,1,4,1,1,1,0,36,1
TI,2710535762,Miguel Hernández,24101944,72,76,18,79,5,1,3,1,0,0,0,616,0
CE,0970807710,Juan González,26071940,64,84,34,61,1,0,5,0,1,1,1,590,1
CC,8588085397,Daniela Murillo,26061977,47,53,35,33,3,0,2,1,0,0,0,578,0
TI,9348011946,Laura Cifuentes,05071996,60,43,14,58,2,0,6,0,0,0,1,255,0
CC,4852441826,Manuela Rodríguez,14091975,67,29,21,6,3,0,3,1,1,1,1,714,0
TI,7643711008,David Murillo,22121938,94,90,35,13,5,0,6,0,0,0,1,456,0
CC,8090079622,Carlos Cifuentes,19092005,84,7,13,32,2,1,2,0,1,0,0,337,0
CE,1377623995,Ana López,13062009,61,61,78,84,3,1,5,0,0,0,0,62,1
CC,3917568794,Miguel Cifuentes,15031925,21,21,80,37,3,0,6,1,1,0,0,739,1
CE,4872842942,Ana González,02022006,15,85,49,10,3,1,4,0,1,1,0,240,1
TI,7756316418,Ana Cifuentes,26012003,59,24,16,38,4,0,3,1,0,1,1,49,0
TI,2283237562,Melissa García,15061962,46,27,23,83,4,1,4,1,0,1,1,681,1
CC,5419017920,Daniela Cartagena,06061967,55,80,47,50,1,0,4,1,0,0,0,296,0
CE,2385366702,Gabriela González,24072000,32,86,80,70,4,1,6,0,0,0,0,745,1
CC,0511435606,Juan García,27031980,98,54,22,82,4,1,6,0,0,0,0,135,1
CE,9138648803,Gabriela Murillo,26081993,11,73,57,90,5,1,3,1,0,0,0,801,1
CE,8638508750,Juan García,10061999,1,64,37,74,6,0,4,1,1,1,1,480,0
CC,9674790037,Luis Cartagena,16061966,22,54,98,98,4,1,6,0,0,0,0,195,1
TI,8305813170,Miguel García,27061948,9,100,81,32,6,1,5,0,0,0,0,809,1
CC,6887706927,Sofía Castaneda,02041956,84,26,99,93,4,0,2,1,1,0,1,143,0
CC,8893505976,Melissa Castaneda,24031950,4,61,47,78,1,0,3,0,1,0,0,264,1
CE,6557395309,Luis Martínez,13021948,22,26,90,93,4,0,2,0,0,0,0,147,0
